	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
27	BEAST2			1	0	0.09890187931732135			0.25232154178705407			0.13241408069731797				1.9055491716461	1.6889452450564797	2.1918614703157933	7.552066930750929	5.784790164597209	9.558726616045293	10.1110313262254	7.315842179893577	13.420188702570474
27	PhyloDeep			1	0	0.10217418019763334			0.2705147850246065			0.14688621237087154				1.8416622	1.6291992509399995	2.17021937709	6.80799091935947	4.926411218359999	9.313384896599999	9.787208451936891	5.9129276420700005	15.2282419146
27	real	189.531611		1.0	0.0	0.101451189975639			0.24421598767049899			0.12146732181143023			0.05227976387643	2.0105488787315795			8.23266690239892			9.856956830571681		
28	PhyloDeep			1	0	0.1010907645323718			0.8461270985530904			0.21723421068473378				3.8949992999999994	2.99239401305	4.65913233466	4.603326505746709	3.77470135459	5.683034652459999	9.892100476495802	7.408844012469999	12.6641384628
28	PyBDEI					0.10607268319445064	0.07404742280949284	0.13973104191799451	0.8003118481299855	0.622184708402485	0.972576117576316	0.20727969648849565	0.15101906261078568	0.279504970679367		3.861023832473645			4.824399190759629			9.427497918260602		
28	BEAST2			1	0	0.10936336039611803			0.7902981537642885			0.20534053163631713				3.8487197216573	2.9707503933972816	4.836171246407423	4.8699591455773605	3.928038598852	6.04743234959312	9.143830222278869	6.804787150518743	12.809334854934551
28	real	38.1005749		1.0	0.0	0.1607901496667319			0.5863806506924703			0.19572555574451792			0.611773575618017	2.9959329963935697			5.109194842728191			6.2192864554992315		
29	PhyloDeep			1	0	0.031087863224243208			0.36462806245313056			0.12827966616401182				2.8424462999999998	2.37822958029	3.63203149574	7.795467745616451	6.2090733350199985	9.81198400953	32.1668939671663	23.315645202600003	41.1493568918
29	BEAST2			1	0	0.030485873808651604			0.37581561737406266			0.13474237014915294				2.78914210101881	2.335750316431472	3.433655613718888	7.421570504460111	6.084414880259695	9.095562024785828	32.8020776532969	26.035585698657044	42.54876034810125
29	real	203.116306		1.0	0.0	0.03000401483863901			0.4082159030659852			0.13357117620546866			0.158022100106939	3.0561676153696404			7.486645161091709			33.32887299842971		
29	PyBDEI					0.029952054311177933	0.02337706102587735	0.03990452637560194	0.3836371484063181	0.3375155142052882	0.4571721747405441	0.13648386993920278	0.10526701321112533	0.1812367677123085		2.8108607161945995			7.32687313486534			33.3866915975378		
30	BEAST2			1	0	4.784719863677891			0.2389214932368631			0.1659463381993429				1.4397515234705502	1.2205308366991376	1.701927372585449	6.0260443879078	5.237377699735896	7.0092992423279386	0.208998651643385	0.2003184338173233	0.2523472422582799
