	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
15	PyBDEI (forest)	0.16160013962455153	1.0431287151448578	0.2949472075353564		3.536662455160944	3.3904372526738578	6.188113465268768	0.1625173648562333	-0.0950309822794252	-0.014326024566604853		-0.08187794313767358	0.014534242481451009	-0.13979779551622562
15	PhyloDeep	0.14403938212471834	1.166434854713608	0.3083327917230155		3.7830386064205945	3.24324894025002	6.942545748593514	0.03618897441662595	0.011943578370984951	0.030406800978680933		-0.017918381934358154	-0.029509511146277888	-0.0349250718837271
16	PhyloDeep	0.15386421628543231	2.0002598116609587	0.5266587818790257		3.79801852828578	1.898762603809959	6.499236951526843	0.13613040306812918	-0.10300539103682929	-0.05649571193416838		-0.049294613380088684	0.05987859583551423	-0.11981934705779201
16	PyBDEI	0.13628728552044791	2.1927897600231785	0.547198057538386		4.007305453326383	1.8274918673845069	7.337441612262242	0.006342685580414454	-0.01666744396711086	-0.019699791453677888		0.003093284547050588	0.02009567200122345	-0.006302709475904293
16	PyBDEI (forest)	0.1482563900730904	2.0617151255216246	0.5501380485984577		3.747632309334157	1.8177255736948559	6.745071827979893	0.09472232256197158	-0.07544642849416706	-0.014432824932857531		-0.06190709786692422	0.014644181845721877	-0.08652634609687469
17	PyBDEI	0.04631878181920565	0.180002060408452	0.1076234483154613		1.6725171254579907	9.291655449180947	21.58951424722831	0.009325421117088928	0.011000436315269636	0.012528737109698356		-0.0015093900433794851	-0.012373710148180351	-0.009239261116368063
17	PyBDEI (forest)	0.04437896453817627	0.1849085544227669	0.1078627474483759		1.7142948682191304	9.271041426778133	22.533198113258514	-0.032944837667078	0.03855827414220652	0.01478007966221766		0.023431869580947687	-0.014564810601265712	0.034067175224629334
17	PhyloDeep	0.04636766901169576	0.17896452571846466	0.10719060779036776		1.6695914820117903	9.329175574372112	21.566751603315677	0.010390714378468578	0.005173013996384963	0.00845654394823931		-0.0032559954829574416	-0.008385630495421348	-0.01028385774988053
18	PyBDEI (forest)	0.11272834347257295	1.1869959629532356	0.3495516523500495		3.3957669917250146	2.8608075323831565	8.870883481431642	-0.01475680957899452	0.01000345976895611	-0.0035646752762185027		0.01361667406656407	0.003577427644093915	0.014977834632572918
18	PhyloDeep	0.11704260802121833	1.1517618417442337	0.33731418443122857		3.414507586410301	2.9645951642566617	8.543897106417116	0.022949765691152965	-0.019976915424967545	-0.0384489198149225		0.019210632456883432	0.03998635185093012	-0.022434890217357846
18	PyBDEI	0.11341977880744353	1.173163043313988	0.34257217867976303		3.4245718605498983	2.9190928576100204	8.816804357357572	-0.008713680279720717	-0.0017668386401350736	-0.023460430499507978		0.022214759685027074	0.02402404493604711	0.008790275933778315
19	PhyloDeep	0.06655636217370514	0.7342415269443741	0.1729023232454413		4.246568311879134	5.783612280214782	15.024859642870874	0.051781822779887784	0.00014535560837579335	0.03229212676778226		-0.03114115697080971	-0.031281965570048725	-0.04923247546057323
19	PyBDEI (forest)	0.06514033412571077	0.7404746626073595	0.17140195265735458		4.320106341423217	5.834239251632536	15.35147176356441	0.029404509585697382	0.008635806577766574	0.023334348085322		-0.014363381367054303	-0.022802271934857954	-0.028564582058739713
19	PyBDEI	0.06539697495494885	0.7250488684478176	0.16623664168266775		4.361546654869732	6.015520945790754	15.291227165918412	0.03346017234069117	-0.012376402374023607	-0.007504507931131364		-0.004908732061579807	0.007561251402249003	-0.03237683776909085
20	PyBDEI	0.05001081056153018	0.4755810833336967	0.21421225091290846		2.220139517263426	4.668267084344143	19.995676710131747	0.007730454413119319	-0.004819533960154146	0.003558236218022056		-0.008348065788138832	-0.0035456200642949016	-0.00767115291521224
20	PhyloDeep	0.05314200140160751	0.4520273172141745	0.2038875126500964		2.2170426787732005	4.90466525880945	18.817507312958497	0.07082474008247724	-0.054107129209968845	-0.04481190170024782		-0.009731305829989515	0.046914216979894716	-0.06614036586138448
20	PyBDEI (forest)	0.049787425537184786	0.4692685582114092	0.2081304795846059		2.2546844611514456	4.804678305627483	20.08539283183319	0.003229189795228247	-0.018028851809910536	-0.024934119757426345		0.007081847583260458	0.025571728293090172	-0.00321879569302325
21	PyBDEI (forest)	0.029761528943283683	0.5527990396056532	0.11255595854567944		4.911326301586305	8.884469671093976	33.60042428954817	0.009876217944231597	-0.021513572107414943	-0.034468615447809846		0.013417526915920434	0.035699114497242466	-0.00977963216555016
